Customer_ID,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6
7450281,159.50,88.02,337.51,29.08,35.54,23.20
7450434,212.19,87.41,,25.95,18.04,
7450563,201.26,105.66,343.70,55.44,45.36,
7455055,164.98,155.79,100.43,16.61,17.29,19.79
7464790,129.42,110.38,207.48,77.33,58.33,95.18
7465274,188.21,190.48,153.71,22.99,29.27,
7465363,137.67,185.01,37.41,2.66,4.00,1.14
7467002,202.06,121.20,413.62,25.42,38.14,
7468793,165.07,32.47,24.84,9.58,6.65,11.52
7474538,101.35,95.03,,77.56,63.46,123.40
7482059,118.98,57.99,217.55,15.49,14.29,9.87
7497771,101.02,,250.11,80.38,94.36,
7508798,97.65,147.40,154.49,87.79,81.03,78.70
7510130,149.73,205.74,36.76,16.85,24.25,8.08
7512876,159.54,55.63,17.54,10.57,15.22,8.68
7515152,227.46,112.43,390.44,51.10,62.46,
7516199,160.08,72.04,272.75,22.36,25.21,
7516206,190.80,93.09,313.17,35.27,35.27,58.86
7518796,169.75,96.25,385.96,19.85,16.91,22.26
7519046,225.19,101.56,265.35,52.63,50.57,57.77
7529033,124.47,83.70,145.78,57.62,86.44,84.23
7533783,219.16,66.97,265.61,32.37,46.59,14.55
7535607,213.64,96.69,369.85,33.50,26.33,
7537633,158.15,280.17,162.54,1.53,1.88,29.39
7539921,191.86,84.68,260.85,52.77,35.18,
7541267,139.66,67.52,49.87,9.65,10.46,
7549623,192.93,108.65,296.29,40.64,36.04,
7555473,208.54,283.37,,25.02,18.87,
7560557,176.04,159.79,210.59,83.39,68.23,
7566206,176.39,81.10,282.40,35.33,50.84,35.98
7568395,149.44,143.19,213.14,125.25,106.69,113.29
7572078,188.74,86.61,273.55,96.44,138.79,102.48
7575124,153.71,170.74,,90.99,98.58,148.82
7581943,262.67,1153.08,,63.17,42.12,
7587279,179.27,61.37,,5.93,4.29,14.25
7589800,118.79,38.48,185.89,64.08,66.70,75.47
7590243,6720.00,18130.81,3513.40,52.65,59.38,689.34
7591773,140.23,69.32,32.88,10.47,7.59,7.89
7594548,175.50,54.36,54.76,11.15,16.73,
7599409,184.72,61.64,44.17,12.41,15.17,
7605408,119.10,131.09,193.10,92.78,133.51,133.99
7611251,108.63,239.64,84.16,15.16,15.16,2.95
7611775,219.40,71.32,,35.30,52.96,
7617876,573.38,1440.73,266.26,60.66,40.44,56.33
7618647,180.65,46.63,30.88,3.02,2.37,5.23
7620427,236.48,139.96,424.59,37.62,29.56,
7621868,189.09,154.14,78.00,8.89,6.43,
7622007,270.39,112.83,344.26,38.11,28.75,27.50
7624904,83.92,912.78,,42.03,45.54,
7626681,202.62,113.53,267.80,117.35,117.35,
7629987,138.88,124.12,186.27,74.21,74.21,
7631340,284.15,133.33,436.69,27.32,27.32,37.69
7631929,420.15,1901.17,,21.24,23.96,
7638086,185.65,214.60,262.86,112.23,137.18,
7638743,266.01,121.24,436.12,50.70,67.20,40.11
7639826,200.36,58.32,46.17,1.65,1.53,5.40
7642002,184.94,,,13.02,12.02,15.59
7645281,177.98,46.24,39.65,12.71,9.20,3.46
7649306,169.23,63.45,,4.39,5.15,
7652587,243.66,107.74,341.75,34.89,44.41,
7660116,141.28,145.61,217.78,102.41,68.28,117.37
7660824,139.18,31.75,36.55,9.86,12.56,
7670102,147.47,179.61,,,,
7670647,117.18,62.57,149.38,75.73,61.96,
7682400,203.85,246.69,48.08,9.78,9.02,19.88
7705639,,1239.60,,,,
7706366,174.54,905.27,254.18,17.54,25.25,55.70
7706685,194.17,47.49,39.01,2.87,2.00,7.93
7722473,153.15,104.18,354.28,50.25,37.91,
7734444,179.19,186.25,26.88,23.42,19.17,12.27
7735075,156.65,66.62,52.86,13.65,11.17,
7744727,144.91,160.67,223.18,87.64,84.21,
7749559,171.20,1539.76,199.60,84.68,121.85,38.07
7752467,115.34,97.89,139.14,47.82,71.72,
7752614,88.79,1307.28,,0.38,0.52,
7753161,210.17,86.48,227.81,15.96,18.74,
7754015,55.37,72.18,113.11,58.11,55.83,84.45
7757638,112.48,150.87,,67.83,73.48,
7760504,148.75,47.31,19.96,5.64,6.90,
7795580,125.30,111.74,260.08,89.55,123.67,88.72
7796618,109.32,172.58,81.62,12.13,13.14,
7799043,83.93,112.66,243.20,117.86,96.43,143.44
7806070,125.57,155.99,169.94,113.63,75.75,
7807843,142.06,47.34,208.53,103.86,95.87,134.10
7808257,177.51,44.87,51.72,7.48,6.64,4.53
7808598,424.86,1308.57,274.76,59.03,61.44,33.98
7813396,194.88,39.76,50.37,9.58,10.37,
7814501,178.35,205.11,271.55,92.54,117.77,
7822547,119.61,172.61,193.09,97.07,93.26,
7830841,187.54,280.00,59.89,20.06,30.08,15.80
7832251,230.60,102.97,431.11,58.45,51.83,
7836236,123.71,198.72,,1.31,1.74,
7837554,94.27,161.87,187.09,77.04,94.16,
7838968,103.01,49.84,169.88,65.02,65.02,
7843488,188.40,33.80,,2.52,2.96,
7851372,166.98,227.95,,92.16,122.17,
7852384,168.21,45.09,20.42,0.71,0.54,
7857355,161.68,110.89,198.23,111.66,80.86,95.28
7861151,226.35,188.09,129.02,13.66,12.11,2.38
7862443,179.98,50.38,33.35,0.22,0.15,
7875126,170.76,84.73,227.36,21.03,17.91,16.95
7876245,199.81,81.93,239.48,39.22,49.91,57.23
7876564,215.12,75.72,345.31,36.11,30.76,53.61
7881575,154.02,71.92,216.88,34.85,42.60,
7892210,179.71,69.06,341.22,21.90,30.25,24.42
7897232,178.85,179.73,55.72,20.90,15.77,
7898741,133.00,226.37,109.18,31.70,21.14,
7904697,209.72,256.54,167.40,6.99,6.19,
7907746,232.85,101.19,359.11,42.83,41.16,44.53
7914369,184.05,202.32,,7.82,11.25,
7914654,110.12,130.26,171.04,98.72,98.72,
7915252,125.25,189.80,184.75,109.58,73.06,
7918314,191.04,1140.81,223.42,77.13,102.25,25.02
7919048,140.84,184.67,255.20,70.59,105.88,
7921422,244.33,78.20,314.77,20.88,17.78,21.86
7922720,186.11,103.45,308.15,43.30,36.88,
7924136,200.05,184.60,,124.98,130.08,
7924524,187.36,30.51,,14.36,11.75,
7926449,182.25,154.75,188.94,100.27,104.37,104.66
7930556,100.69,76.02,149.21,77.46,90.93,
7931352,364.11,1170.57,239.89,71.04,65.58,
7935655,214.74,110.46,419.55,23.65,25.63,34.95
7935815,147.45,35.65,137.07,97.28,76.43,
7937984,2067.16,1148.16,4980.58,615.97,615.97,
7939868,427.94,1191.67,164.85,39.18,37.65,
7944308,204.92,1842.47,247.25,104.08,78.52,
7946398,83.31,1013.19,83.18,3.90,5.84,38.17
7946895,169.66,85.48,316.79,48.93,47.01,46.98
7948353,145.88,230.56,108.98,15.31,19.49,
7949834,79.39,128.49,166.30,73.46,105.70,
7950133,154.05,120.86,220.90,122.34,85.02,108.66
7951465,157.65,85.95,306.43,23.78,24.75,28.84
7956432,259.87,135.47,342.25,54.39,58.93,23.55
7963416,157.28,145.55,79.98,17.20,17.91,21.88
7963883,197.37,73.71,,27.67,26.58,
7973095,168.79,31.71,,7.19,6.13,
7985840,209.84,69.46,218.68,26.50,17.66,31.76
7987723,177.56,57.43,,12.46,10.20,
7988889,127.57,200.90,,13.19,16.13,
7990595,217.91,78.55,386.84,22.79,27.86,
7997848,175.93,56.34,31.32,3.38,4.13,3.31
7998116,171.08,62.53,28.03,8.64,9.35,11.62
8000587,145.74,69.09,,65.50,76.90,
8002183,149.20,293.48,119.79,35.11,23.41,
8004618,136.51,77.99,261.33,107.16,111.53,
8009496,96.01,202.34,,11.52,8.69,
8010871,176.88,80.00,,43.71,31.65,38.91
8015065,356.35,1277.62,298.39,44.38,32.14,39.50
8017698,166.03,159.18,106.51,2.78,2.02,
8019220,165.36,88.84,386.38,37.30,33.08,
8021425,105.90,108.91,160.96,112.70,122.09,
8021853,171.26,249.71,149.06,5.11,7.05,
8023540,170.06,44.42,166.92,89.11,72.90,
8029925,141.99,188.80,,2.30,1.73,
8031563,147.85,62.82,50.37,2.61,3.19,
8032244,,101.92,347.46,,,
8035817,181.25,55.93,17.66,3.85,2.67,3.84
8038666,166.79,175.16,60.41,14.41,9.61,
8043375,134.00,273.88,140.87,8.88,9.24,
8056696,220.83,237.23,35.51,0.74,0.53,29.32
8069952,58.44,56.07,101.78,49.88,54.04,
8071513,176.15,44.37,17.76,6.95,8.49,
8072231,183.26,82.81,275.67,37.90,27.44,
8073992,212.48,99.46,358.77,42.54,46.09,
8075307,149.81,142.93,185.19,73.24,85.98,68.39
8084499,96.22,93.19,210.24,69.46,104.20,
8091807,149.55,211.14,45.55,0.99,1.03,20.16
8092642,214.14,110.23,335.81,22.39,33.59,
8092949,192.98,158.45,245.06,135.95,135.95,162.21
8095373,218.96,82.30,254.57,51.42,42.07,17.14
8097306,126.29,98.89,,87.40,71.51,
8099025,233.74,242.02,57.30,15.77,17.09,13.49
8099350,248.31,1210.21,299.45,48.73,38.28,33.52
8099934,176.33,61.72,,76.53,93.53,120.72
8109047,180.27,46.98,,,,
8110246,288.34,897.00,128.36,10.34,7.19,11.89
8110626,156.62,45.40,195.01,92.79,85.65,122.74
8112680,193.82,101.02,,,,
8118922,103.08,1126.48,163.09,37.37,31.83,
8128516,258.28,92.65,324.60,51.90,51.90,40.41
8129465,178.25,57.16,51.42,10.31,10.73,
8129499,137.46,117.60,238.31,126.78,103.73,116.38
8145398,178.78,286.38,,5.88,6.63,
8146354,103.43,93.81,174.72,91.30,68.87,94.94
8148008,188.74,218.97,105.49,12.26,12.77,
8148895,158.51,107.86,387.80,37.03,34.18,29.79
8149085,107.47,199.83,30.76,10.53,10.95,10.74
8153587,157.46,64.45,33.76,12.05,10.26,4.70
8155390,147.90,61.12,,2.04,3.07,9.52
8155766,175.11,59.26,42.96,11.74,7.82,5.69
8163564,180.12,77.41,325.20,20.49,27.15,
8168713,168.22,162.37,193.67,114.07,86.05,128.41
8173754,191.64,251.57,132.76,18.21,25.14,
8175693,401.93,1074.39,,27.70,20.06,
8179254,146.00,55.73,39.23,3.40,4.32,4.42
8179595,105.48,25.26,,51.87,68.75,
8179794,117.08,87.89,153.20,83.21,93.84,73.73
8181228,201.08,36.96,19.40,4.04,5.58,
8187746,105.90,83.87,141.25,61.77,57.01,67.20
8201848,397.44,1119.88,,28.15,42.23,
8214134,201.39,78.63,271.82,30.83,20.55,
8215107,238.04,145.26,373.98,40.24,53.35,
8218291,111.37,162.30,157.64,82.34,85.71,
8221329,149.05,212.01,84.75,19.07,22.38,18.42
8222636,156.01,186.90,200.34,92.11,138.17,100.41
8228152,172.78,85.30,218.45,34.01,32.68,17.42
8228437,185.68,62.21,52.55,12.76,13.28,10.85
8229329,170.38,247.80,,9.59,9.21,
8241119,277.41,93.56,488.04,37.58,45.93,
8241668,148.99,44.57,15.59,9.38,6.52,8.66
8246660,172.72,261.61,,9.48,13.64,
8255144,245.18,1005.56,85.02,5.22,6.12,39.23
8265800,205.98,82.13,,40.76,44.15,
8271097,90.05,152.40,,83.05,57.71,
8276146,154.93,64.33,25.08,7.30,9.68,13.27
8288635,221.56,114.34,,37.73,56.60,
8290789,193.50,69.19,,10.85,8.19,
8290868,497.42,1243.36,311.05,1.01,1.34,4.12
8300726,118.42,60.27,178.89,20.99,24.65,39.81
8303446,252.38,84.74,237.93,55.79,53.61,
8314685,109.74,95.47,208.30,69.44,72.28,120.08
8321889,148.19,110.11,186.94,66.89,81.75,
8328321,218.47,209.62,65.98,18.70,14.69,7.70
8333666,206.21,149.19,239.74,87.25,115.65,152.12
8336363,157.32,158.87,,1.36,1.67,
8340802,144.33,27.31,20.57,12.59,9.50,
8345251,196.29,268.84,113.76,9.13,13.69,
8347588,241.82,119.25,379.68,32.58,33.90,
8348380,154.38,150.66,214.00,93.86,65.22,83.51
8350799,160.93,,54.98,1.48,1.17,
8351735,99.69,68.11,129.35,68.60,60.84,
8352149,206.45,283.16,87.47,22.56,15.04,
8363324,200.57,226.17,64.37,16.71,22.15,18.19
8366505,76.90,111.77,151.92,56.53,69.10,
8367735,203.18,64.96,43.38,3.50,4.84,0.15
8370281,103.56,1284.30,147.16,69.45,88.38,
8373359,172.93,61.62,34.44,15.70,11.84,13.52
8377309,137.93,219.13,77.51,15.59,12.75,1.24
8378276,244.04,98.36,,27.06,30.52,
8378634,155.61,71.75,,45.68,35.89,
8382276,186.99,1087.23,238.06,64.62,93.00,43.24
8382934,113.65,146.61,165.27,114.39,86.29,
8385665,155.68,64.43,30.88,3.15,4.01,
8387648,284.01,105.47,410.38,30.02,28.85,
8388828,108.94,120.73,,75.25,103.92,
8389712,219.78,96.14,,40.87,58.82,
8392907,175.32,44.54,-147.38,97.35,82.93,71.31
8406951,126.42,123.10,145.60,79.08,92.84,79.47
8407513,142.85,44.32,203.78,11.57,14.15,
8410370,96.71,543.53,99.37,8.98,7.97,
8413493,125.69,99.50,171.59,134.46,93.43,
8425372,144.40,241.68,62.68,9.26,9.64,17.20
8426583,219.83,1245.94,,18.30,12.71,
8435175,205.54,72.76,278.57,47.97,36.19,37.69
8437776,253.36,1324.47,309.71,7.81,9.17,5.66
8438397,242.58,116.83,407.76,70.97,58.07,
